f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,y
0.074599,0.043734,0.000000,0.000000,0.066578,0.002354,0.000000,0.000000,0.000000,0.000000,0.079545,0.090909,0.114286,0.189774,1.000000,0.294578,0.604082,0.739130,0.363636,1.000000,1
0.021368,0.051361,0.000000,0.000000,0.040000,0.002230,0.000000,0.000000,0.000000,0.000000,0.159091,0.090909,0.285714,0.023608,1.000000,0.129823,0.587755,0.913043,0.636364,0.500000,0
0.012562,0.000483,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011364,0.000000,0.028571,0.006286,1.000000,0.000000,0.659184,0.130435,0.636364,1.000000,0
0.174043,0.000000,0.000000,0.000000,0.000000,0.001982,0.078947,0.384615,0.014124,0.000000,0.090909,0.000000,0.000000,0.110801,0.800000,0.000000,0.651020,0.956522,0.727273,1.000000,1
0.001466,0.000579,0.000000,0.000000,0.266667,0.000000,0.000000,0.000000,0.000000,0.000000,0.022727,0.181818,0.057143,0.001118,1.000000,0.133994,0.620408,0.869565,0.545455,1.000000,1
0.004164,0.000579,0.000000,0.000000,0.266667,0.006071,0.000000,0.000000,0.000000,0.000000,0.022727,0.090909,0.057143,0.002468,1.000000,0.361314,0.553061,0.652174,0.727273,1.000000,0
0.012057,0.008303,0.000000,0.000000,0.071628,0.002478,0.000000,0.000000,0.000000,0.000000,0.079545,0.000000,0.200000,0.013341,1.000000,0.169969,0.632653,0.782609,0.272727,1.000000,0
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027027,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.316327,0.826087,0.818182,0.500000,0
0.040423,0.032290,0.000000,0.000000,0.188722,0.001115,0.013158,0.000000,0.000000,0.000000,0.238636,0.000000,0.342857,0.120207,0.961500,0.425965,0.457143,0.000000,0.818182,0.500000,0
0.028229,0.005213,0.000000,0.000000,0.088889,0.001982,0.026316,0.000000,0.000000,0.000000,0.045455,0.000000,0.057143,0.022095,0.500000,0.310740,0.626531,0.913043,0.545455,1.000000,0
0.048572,0.000000,0.000000,0.000000,0.000000,0.003717,0.000000,0.000000,0.000000,0.027027,0.022727,0.000000,0.000000,0.030849,1.000000,0.000000,0.526531,0.347826,0.636364,0.500000,0
0.034800,0.005213,0.000000,0.000000,0.081481,0.004708,0.000000,0.192308,0.155367,0.162162,0.034091,0.181818,0.057143,0.049685,0.791700,0.044317,0.477551,0.739130,0.818182,0.500000,1
0.045625,0.033018,0.000000,0.000000,0.019883,0.003841,0.000000,0.000000,0.000000,0.027027,0.068182,0.000000,0.057143,0.034365,1.000000,0.137643,0.732653,0.826087,0.727273,1.000000,1
0.000000,0.000000,0.000000,0.000000,0.000000,0.051171,0.105263,0.115385,0.031073,0.027027,0.000000,0.000000,0.000000,0.000000,0.571400,0.000000,0.540816,0.086957,0.818182,1.000000,1
0.007956,0.228809,0.000000,1.000000,0.008810,0.001239,0.000000,0.000000,0.000000,0.000000,0.113636,0.090909,0.285714,0.005122,1.000000,0.073514,0.610204,0.086957,0.636364,0.500000,0
0.091401,0.068546,0.000000,0.000000,0.002817,0.001363,0.000000,0.000000,0.000000,0.162162,0.079545,0.000000,0.057143,0.086331,1.000000,0.002086,0.716327,0.347826,0.636364,1.000000,0
0.029822,0.000000,0.000000,0.000000,0.000000,0.006938,0.000000,0.000000,0.000000,0.054054,0.011364,0.000000,0.028571,0.014924,1.000000,0.000000,0.448980,0.956522,0.545455,1.000000,1
0.092044,0.001352,0.000000,0.000000,0.142857,0.001487,0.026316,0.019231,0.000000,0.351351,0.056818,0.000000,0.028571,0.074108,0.964300,0.377998,0.608163,0.043478,0.545455,0.500000,0
0.008917,0.002317,0.000000,0.000000,0.000000,0.002230,0.000000,0.000000,0.000000,0.000000,0.034091,0.000000,0.085714,0.005867,1.000000,0.000000,0.644898,0.521739,0.272727,1.000000,1
0.134596,0.060245,0.000000,0.000000,0.011282,0.001735,0.000000,0.000000,0.000000,0.054054,0.034091,0.000000,0.028571,0.143559,1.000000,0.049009,0.665306,0.913043,0.363636,1.000000,1
0.063367,0.000579,0.000000,0.000000,0.000000,0.003593,0.013158,0.000000,0.036723,0.000000,0.034091,0.000000,0.028571,0.065959,0.714300,0.000000,0.667347,0.130435,0.454545,1.000000,0
