x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,y
707000,23.21,-1.61,1.61,18.12,18.12,14.62,14.62,35.49,35.49,0.00,0,163470000,308.13,0
5484900,16.8,9.16,9.16,14.68,14.68,26.51,26.51,8.88,8.88,230604.00,14.97,290280000,308.22,0
5180300,13.75,3.62,3.62,19.36,19.36,52.61,52.61,42.93,42.93,1893200.00,0,553400000,308.31,0
3209300,11.7,-1.27,1.27,45.34,45.34,60.27,60.27,53.95,53.95,90857.00,42.13,745950000,308.62,0
2446900,37.87,4.35,4.35,8.73,8.73,21.34,21.34,2.68,2.68,2792077.00,72.76,8950000000,308.67,0
9653600,23.74,7.57,7.57,3.04,3.04,22.56,22.56,26.08,26.08,624333.00,97.47,6350000000,308.7,1
1050500,23.1,3.26,3.26,6.99,6.99,6.21,6.21,36.2,36.2,1096523.00,18.63,806860000,308.96,0
191400,15.2,3.47,3.47,3.61,3.61,11.36,11.36,46.58,46.58,1054707.00,-7.48,79890000,309.19,1
736100,13.85,4.45,4.45,13.06,13.06,4.61,4.61,-4.88,4.88,6176.00,171.23,1420000000,309.26,0
641800,27.54,4.71,4.71,3.34,3.34,-6.64,6.64,8.47,8.47,5393037.00,29.99,107350000,309.66,0
8291900,11.96,-5.53,5.53,5.56,5.56,-2.61,2.61,-16.71,16.71,5393037.00,29.99,1970000000,309.71,1
610300,12.75,-1.62,1.62,4.94,4.94,9.91,9.91,23.91,23.91,1450900.00,8.97,431020000,310.13,0
555400,16.67,1.83,1.83,6.65,6.65,7.69,7.69,-5.07,5.07,1610600.00,21.17,232670000,310.28,0
397000,14.54,1.54,1.54,10.99,10.99,16.88,16.88,10.15,10.15,6176.00,171.23,1420000000,310.32,0
105100,23.93,3.19,3.19,7.79,7.79,4.54,4.54,-21.1,21.1,0.00,0,142610000,310.44,0
1602100,20,2.56,2.56,7.82,7.82,12.99,12.99,-9.09,9.09,8198.00,2407.03,365650000,310.53,0
2289300,12.3,5.13,5.13,47.31,47.31,68.49,68.49,73.24,73.24,90857.00,42.13,745950000,310.53,0
522700,17.79,6.46,6.46,4.52,4.52,6.02,6.02,3.67,3.67,0.00,0,163470000,310.57,0
1005500,24.17,-3.97,3.97,3.38,3.38,5,5,-0.74,0.74,92008.00,27.87,1160000000,310.6,0
190100,15.39,2.4,2.4,3.22,3.22,3.99,3.99,10.09,10.09,909012000.00,-0.52,6680000000,310.66,0
5584700,24.27,2.23,2.23,10.97,10.97,25.3,25.3,35.21,35.21,624333.00,97.47,6350000000,310.73,1
6148300,19.47,35.02,35.02,36.34,36.34,39.17,39.17,65.28,65.28,1819000.00,7.13,1010000000,310.83,0
2277900,12.84,-1.83,1.83,11.65,11.65,9.09,9.09,13.93,13.93,4740.00,15.44,2300000000,311.32,1
1204800,11.47,5.23,5.23,10.08,10.08,19.11,19.11,22.94,22.94,5393037.00,29.99,3140000000,311.32,1
945400,32.32,1.73,1.73,6.32,6.32,2.38,2.38,34.67,34.67,1096523.00,18.63,806860000,311.53,1
964200,27.28,5.37,5.37,10.8,10.8,23.49,23.49,36.2,36.2,76569.00,58.45,1080000000,311.61,0
35900,24.57,2.76,2.76,6.46,6.46,7.57,7.57,10.38,10.38,5393037.00,29.99,633440000,312.24,1
8950800,18.88,3.11,3.11,3.85,3.85,3.4,3.4,9.58,9.58,12564000.00,4.28,5560000000,312.39,0
709000,25.48,6.88,6.88,14.67,14.67,7.19,7.19,-2.15,2.15,76569.00,58.45,1080000000,312.46,1
5946400,17.52,5.35,5.35,11.88,11.88,11.1,11.1,-4.05,4.05,2161190.00,0,597120000,312.66,1
1364600,10.98,3.1,3.1,10.13,10.13,42.41,42.41,38.29,38.29,4578600.00,0,555990000,312.79,0
3876400,24.11,3.17,3.17,10.24,10.24,12.09,12.09,32.47,32.47,624333.00,97.47,6350000000,312.9,1
73600,27.8,3,3,4.08,4.08,11.78,11.78,24.05,24.05,5393037.00,29.99,633440000,313.32,1
1512000,17.6,11.75,11.75,18.52,18.52,15.41,15.41,13.18,13.18,5393037.00,29.99,462280000,313.39,1
3690000,17.85,-1.44,1.44,11.63,11.63,8.12,8.12,21.84,21.84,2156.00,-30.25,3490000000,313.47,0
2414800,10.15,3.57,3.57,13.92,13.92,4,4,30.3,30.3,53446.00,-53.71,783510000,313.5,1
257700,15.54,2.1,2.1,9.44,9.44,-12.6,12.6,4.16,4.16,317373.00,13.06,20460000,313.59,0
1676000,20.92,9.93,9.93,7.78,7.78,7.72,7.72,15.9,15.9,109333.00,-14.83,301640000,313.7,0
1834000,11.55,-2.12,2.12,38.32,38.32,40,40,60.42,60.42,90857.00,42.13,745950000,314.04,0
791500,22.38,2.9,2.9,3.66,3.66,6.17,6.17,47.63,47.63,1096523.00,18.63,806860000,314.29,0
644500,17.65,1.44,1.44,13.14,13.14,16.89,16.89,6.33,6.33,343374.00,3.62,636870000,314.29,0
2765200,10.65,4.93,4.93,19.53,19.53,24.85,24.85,34.47,34.47,53446.00,-53.71,783510000,314.29,0
376300,25.4,3.89,3.89,3.34,3.34,2.25,2.25,20.21,20.21,5620728.00,1.4,414690000,314.41,0
1309100,38.98,2.88,2.88,7.41,7.41,24.9,24.9,12.17,12.17,2792077.00,72.76,8950000000,314.55,0
396400,30.78,1.68,1.68,7.62,7.62,9.77,9.77,23.76,23.76,5393037.00,29.99,633440000,314.66,0
101600,14.25,-1.86,1.86,6.9,6.9,14.18,14.18,29.78,29.78,225958.00,11.2,196640000,314.86,0
874800,16.11,-2.95,2.95,34.03,34.03,47.26,47.26,26.35,26.35,90857.00,42.13,745950000,315,0
798700,11.27,5.52,5.52,13.15,13.15,15,15,64.05,64.05,0.00,0,594050000,315.56,1
610700,27.65,3.29,3.29,4.18,4.18,1.32,1.32,1.21,1.21,843281.00,14.01,21310000,315.68,0
99500,18.84,16.51,16.51,18.86,18.86,19.24,19.24,38.63,38.63,30036.00,129.11,254590000,315.68,1
4380200,15.68,13.54,13.54,24.44,24.44,26.05,26.05,20.52,20.52,230604.00,14.97,290280000,315.96,1
869800,14.12,6.41,6.41,7.87,7.87,7.62,7.62,24.96,24.96,455154.00,12.56,706190000,315.99,0
1433000,24.67,3.48,3.48,4.98,4.98,8.01,8.01,5.34,5.34,216824.00,46.8,2070000000,316.06,1
2234200,22.11,-1.6,1.6,3.22,3.22,-1.34,1.34,16.31,16.31,454462.00,0,12740000000,316.11,0
46085800,10.95,2.72,2.72,3.79,3.79,5.9,5.9,25.72,25.72,5393037.00,29.99,55640000000,316.41,0
80500,32.13,5.38,5.38,6.14,6.14,14.79,14.79,22.4,22.4,5393037.00,29.99,633440000,316.53,0
190700,37.46,2.88,2.88,3.34,3.34,6.09,6.09,9.89,9.89,11284.00,-13.91,2380000000,316.59,0
2284200,19.95,4.78,4.78,3.8,3.8,5.44,5.44,2.31,2.31,109333.00,-14.83,301640000,316.63,0
1174600,12.96,2.29,2.29,6.67,6.67,9.74,9.74,21.58,21.58,1450900.00,8.97,431020000,316.78,0
7245400,11.24,13.31,13.31,23.65,23.65,26.43,26.43,7.97,7.97,711502.00,13.68,1230000000,316.81,0
4556500,13.12,5.98,5.98,9.33,9.33,26.89,26.89,127.38,127.38,2161190.00,0,597120000,316.84,1
1165000,11.2,1.36,1.36,12.56,12.56,15.46,15.46,-8.94,8.94,90857.00,42.13,745950000,316.98,0
388400,25.89,1.73,1.73,5.16,5.16,15.99,15.99,24.05,24.05,11284.00,-13.91,2380000000,317.21,0
172000,30.46,-1.74,1.74,7.78,7.78,7.63,7.63,7.78,7.78,896900.00,-29.12,799270000,317.23,0
402500,15.68,1.55,1.55,6.67,6.67,10.73,10.73,4.6,4.6,257664.00,28.69,4520000000,317.3,0
2687900,12.38,-1.51,1.51,6.54,6.54,19.73,19.73,141.33,141.33,2161190.00,0,597120000,317.61,1
1232900,25.88,4.48,4.48,10.5,10.5,7.34,7.34,23.47,23.47,1096523.00,18.63,806860000,317.71,1
228000,36.33,2.31,2.31,4.85,4.85,20.94,20.94,-7.91,7.91,11284.00,-13.91,2380000000,317.76,0
4254500,16.32,3.62,3.62,11.4,11.4,28.61,28.61,48.63,48.63,2156.00,-30.25,3490000000,317.77,0
1053600,18.46,2.27,2.27,5.61,5.61,-3.05,3.05,-6.91,6.91,109333.00,-14.83,301640000,317.82,1
436800,23.65,2.69,2.69,3.91,3.91,5.58,5.58,-8.97,8.97,2500.00,100,2200000000,317.97,0
1001700,25.76,5.31,5.31,14.59,14.59,18.93,18.93,30.89,30.89,92008.00,27.87,1160000000,318.12,0
8092200,16.63,7.99,7.99,6.19,6.19,5.39,5.39,-6.36,6.36,2161190.00,0,597120000,318.48,1
296700,24.76,3.6,3.6,5.63,5.63,4.92,4.92,-8.77,8.77,5393037.00,29.99,107350000,318.56,0
10659300,17.12,-4.89,4.89,13.91,13.91,29.7,29.7,6.6,6.6,5393037.00,29.99,6280000000,318.6,0
509500,12,2.3,2.3,5.63,5.63,11.84,11.84,-24.29,24.29,287437.00,92.74,97850000,318.93,0
1253400,23.84,2.89,2.89,4.38,4.38,-3.64,3.64,6.57,6.57,216824.00,46.8,2070000000,318.99,1
602800,14.53,1.96,1.96,5.67,5.67,2.25,2.25,5.67,5.67,455154.00,12.56,706190000,319.12,0
3424300,25.87,3.36,3.36,4.65,4.65,9.62,9.62,51.29,51.29,5393037.00,29.99,2700000000,319.26,0
71800,24.95,1.55,1.55,6.9,6.9,9.24,9.24,14.66,14.66,5393037.00,29.99,633440000,319.28,1
3178700,25.45,4.65,4.65,10.41,10.41,18.93,18.93,43.79,43.79,183866.00,70.88,4610000000,319.31,1
128500,38.94,-2.58,2.58,3.62,3.62,1.46,1.46,-3.18,3.18,5393037.00,29.99,115940000,319.85,0
98400,15.75,-6.25,6.25,13.31,13.31,27.02,27.02,45.16,45.16,47034.00,36.43,249280000,320,0
53200,38.1,5.1,5.1,7.48,7.48,-2.06,2.06,-10.67,10.67,202765.00,-39.24,205250000,320.05,1
539400,38.15,1.46,1.46,8.07,8.07,1.46,1.46,-1.55,1.55,0.00,-100,1260000000,320.11,0
1225400,13.17,11.52,11.52,27.12,27.12,27,27,12.18,12.18,1602408.00,9.09,122030000,320.28,0
274300,14.32,1.7,1.7,9.31,9.31,11.09,11.09,3.32,3.32,6176.00,171.23,1420000000,320.3,0
3950000,16.97,8.23,8.23,7.95,7.95,5.01,5.01,36.41,36.41,2156.00,-30.25,3490000000,320.38,0
2394800,29.5,1.65,1.65,17.44,17.44,30.94,30.94,45.82,45.82,5393037.00,29.99,1950000000,320.58,0
27984600,10.03,2.35,2.35,4.7,4.7,11.94,11.94,26.8,26.8,36575000.00,0,52870000000,320.6,0
1421000,33.6,3.96,3.96,10.53,10.53,9.34,9.34,36.59,36.59,1096523.00,18.63,806860000,320.83,1
737600,22.43,3.89,3.89,7.84,7.84,3.13,3.13,39.23,39.23,1096523.00,18.63,806860000,320.86,0
18176600,18,-1.91,1.91,36.36,36.36,35.95,35.95,7.27,7.27,5393037.00,29.99,6280000000,320.87,0
2735900,31.42,4.7,4.7,32.02,32.02,31.3,31.3,33.02,33.02,454462.00,0,12740000000,320.9,1
728100,11.73,4.73,4.73,5.96,5.96,15,15,41.5,41.5,0.00,0,594050000,321.05,1
2144100,14.89,3.98,3.98,22.45,22.45,-2.23,2.23,-38.01,38.01,7845.00,2805.56,31250000,321.18,1
172800,14.37,3.9,3.9,5.27,5.27,11.57,11.57,78.51,78.51,1054707.00,-7.48,79890000,321.65,0
11979700,19.81,18.91,18.91,28.72,28.72,49.17,49.17,44.49,44.49,230604.00,14.97,290280000,321.77,1
9783800,20.26,8.4,8.4,9.1,9.1,9.34,9.34,32.42,32.42,853826.00,88.7,5890000000,321.9,0
6118300,13.65,4.36,4.36,7.14,7.14,9.2,9.2,-0.58,0.58,6176.00,171.23,1420000000,321.94,0
1683800,30.32,4.44,4.44,7.48,7.48,9.1,9.1,29.96,29.96,1096523.00,18.63,806860000,321.95,1
63342900,10.68,3.29,3.29,11.72,11.72,25.21,25.21,59.64,59.64,5393037.00,29.99,55640000000,322.04,0
70900,24.58,-1.48,1.48,5.31,5.31,6.27,6.27,13.64,13.64,5393037.00,29.99,633440000,322.88,1
568400,14.13,2.02,2.02,15.35,15.35,14.97,14.97,-1.74,1.74,6176.00,171.23,1420000000,323.55,0
263600,19.25,2.12,2.12,10.63,10.63,12.05,12.05,-2.28,2.28,0.00,0,366440000,323.6,0
703100,18.45,5.13,5.13,4.53,4.53,18.27,18.27,13.54,13.54,343374.00,3.62,636870000,323.91,0
898700,26.78,5.43,5.43,8.95,8.95,8.11,8.11,15.68,15.68,5620728.00,1.4,414690000,324.04,0
343600,21.67,3.83,3.83,61.12,61.12,105.4,105.4,72.67,72.67,0.00,-100,23810000,324.19,1
771200,17.58,2.33,2.33,4.39,4.39,5.59,5.59,57.67,57.67,90857.00,42.13,745950000,324.2,0
820400,20.8,-7.56,7.56,25.38,25.38,20.65,20.65,16.01,16.01,903582.00,6.42,170250000,324.53,1
1164400,28.49,3.37,3.37,5.87,5.87,19.86,19.86,25.51,25.51,106732.00,-7.11,1190000000,324.65,0
3589500,12.95,12.9,12.9,20.92,20.92,34.48,34.48,38.8,38.8,5393037.00,29.99,3140000000,324.81,1
733400,16.62,7.71,7.71,12.22,12.22,4.86,4.86,12.15,12.15,6176.00,171.23,1420000000,325.07,1
3642500,11.79,2.34,2.34,13.58,13.58,40.02,40.02,37.73,37.73,2156.00,-30.25,3490000000,325.09,1
1324800,17.35,-1.7,1.7,10.86,10.86,10.16,10.16,-7.71,7.71,8198.00,2407.03,365650000,325.3,0
287200,11.55,3.13,3.13,7.94,7.94,9.48,9.48,2.21,2.21,4408400.00,31.02,325320000,325.86,0
4188800,11.27,5.82,5.82,26.49,26.49,24.94,24.94,36.44,36.44,53446.00,-53.71,783510000,326,0
241300,13.45,5.24,5.24,7.69,7.69,13.79,13.79,40.25,40.25,6176.00,171.23,1420000000,326,1
517800,28.87,-3.48,3.48,3.89,3.89,-2.96,2.96,-10.34,10.34,10250000.00,19.6,3570000000,326.07,0
620100,16.82,3.83,3.83,4.41,4.41,45.75,45.75,33.6,33.6,90857.00,42.13,745950000,326.32,0
21023000,37.33,7.55,7.55,13.09,13.09,4.33,4.33,6.02,6.02,12937000.00,-8.75,1450000000,326.41,0
13927000,15.77,-9.63,9.63,31.64,31.64,15.03,15.03,28.95,28.95,230604.00,14.97,290280000,326.65,0
3955400,12.64,7.21,7.21,21.77,21.77,40.29,40.29,50.3,50.3,2156.00,-30.25,3490000000,327.17,0
80300,15.48,1.51,1.51,5.38,5.38,8.56,8.56,19.91,19.91,225958.00,11.2,196640000,327.17,0
6116700,25.76,4.63,4.63,6.4,6.4,6.84,6.84,33.33,33.33,624333.00,97.47,6350000000,327.43,1
77777700,10.66,-1.84,1.84,3.09,3.09,12.8,12.8,38.98,38.98,5393037.00,29.99,55640000000,327.56,0
3930800,32.44,3.18,3.18,10.04,10.04,-2.79,2.79,39.35,39.35,2161190.00,0,597120000,327.76,1
2671800,22.15,2.93,2.93,3.41,3.41,11.25,11.25,22.51,22.51,454462.00,0,12740000000,327.83,0
1815800,14.8,-2.57,2.57,12.72,12.72,-1.92,1.92,18.68,18.68,5393037.00,29.99,3470000000,327.89,0
311200,25.53,-1.39,1.39,3.7,3.7,15.47,15.47,30.06,30.06,11284.00,-13.91,2380000000,327.93,0
786600,10.65,8.12,8.12,9.23,9.23,7.58,7.58,29.88,29.88,430.00,30.7,147760000,328.26,0
721900,12.49,4.52,4.52,17.5,17.5,32.31,32.31,14.9,14.9,6176.00,171.23,1420000000,328.32,0
1062500,26.51,10.5,10.5,8.16,8.16,2.83,2.83,11.43,11.43,76569.00,58.45,1080000000,328.39,1
1219000,18.1,4.32,4.32,15.65,15.65,14.92,14.92,-6.94,6.94,8198.00,2407.03,365650000,328.4,0
1648400,13.41,-4.89,4.89,14.81,14.81,29.57,29.57,66.38,66.38,79110.00,12.05,26670000,328.57,1
5528600,23.37,-3.71,3.71,6.86,6.86,10.5,10.5,25.71,25.71,624333.00,97.47,6350000000,328.8,1
955000,24.75,6.68,6.68,32.35,32.35,32.71,32.71,46.45,46.45,12926.00,100,3640000000,329.63,0
1080600,26.11,6.35,6.35,8.16,8.16,6.35,6.35,-6.55,6.55,76569.00,58.45,1080000000,329.95,0
51300,32.55,1.31,1.31,7.53,7.53,14.29,14.29,23.58,23.58,5393037.00,29.99,633440000,330.12,0
553100,14.35,5.9,5.9,19.09,19.09,-3.37,3.37,-21.93,21.93,5393037.00,29.99,462280000,330.16,0
165700,34.92,4.18,4.18,7.28,7.28,12.94,12.94,25.61,25.61,5393037.00,29.99,633440000,330.3,1
145800,31,-2.18,2.18,9.7,9.7,10.44,10.44,12.77,12.77,896900.00,-29.12,799270000,330.57,0
27173300,11.16,-1.59,1.59,12.05,12.05,14.7,14.7,16.49,16.49,36575000.00,0,52870000000,331.18,0
1013200,13.54,6.78,6.78,5.78,5.78,7.38,7.38,-1.38,1.38,1382818.00,15.24,1510000000,331.29,1
367100,28.03,11.23,11.23,19.12,19.12,13.76,13.76,48.46,48.46,0.00,0,142610000,331.51,1
70068300,16.5,-3.06,3.06,6.38,6.38,8.62,8.62,19.48,19.48,18628000.00,13.56,15570000000,331.98,1
18706100,35.21,4.76,4.76,8.87,8.87,5.96,5.96,77.29,77.29,12937000.00,-8.75,1450000000,332.01,0
