tcin,location_id,location_type_c,start_d,end_d
"13462173","679","STR","2021-06-06","9999-12-31"
"13462173","680","STR","2021-06-06","9999-12-31"
"13462173","681","STR","2021-06-06","9999-12-31"
"13462173","684","STR","2021-06-06","9999-12-31"
"13462173","685","STR","2021-06-06","9999-12-31"
"13462173","686","STR","2021-06-06","9999-12-31"
"13462173","687","STR","2021-06-06","9999-12-31"
"13462173","688","STR","2021-06-06","9999-12-31"
"13462173","689","STR","2021-06-06","9999-12-31"
"13462173","690","STR","2021-06-06","9999-12-31"
"13462173","692","STR","2021-06-06","9999-12-31"
"13462173","696","STR","2021-06-06","9999-12-31"
"13462173","699","STR","2021-06-06","9999-12-31"
"13462173","700","STR","2021-06-06","9999-12-31"
"13462173","731","STR","2021-06-06","9999-12-31"
"13462173","732","STR","2021-06-06","9999-12-31"
"13462173","733","STR","2021-06-06","9999-12-31"
"13462173","734","STR","2021-06-06","9999-12-31"
"13462173","736","STR","2021-06-06","9999-12-31"
"13462173","737","STR","2021-06-06","9999-12-31"
"13462173","738","STR","2021-06-06","9999-12-31"
"13462173","739","STR","2023-02-26","9999-12-31"
"13462173","740","STR","2021-06-06","9999-12-31"
"13462173","746","STR","2021-06-06","9999-12-31"
"13462173","749","STR","2021-06-06","9999-12-31"
"13462173","750","STR","2021-06-06","9999-12-31"
"13462173","751","STR","2021-06-06","9999-12-31"
"13462173","752","STR","2021-06-06","9999-12-31"
"13462173","753","STR","2021-06-06","9999-12-31"
"13462173","755","STR","2021-05-23","9999-12-31"
"13462173","757","STR","2021-06-06","9999-12-31"
"13462173","758","STR","2021-06-06","9999-12-31"
"13462173","759","STR","2021-06-06","9999-12-31"
"13462173","760","STR","2021-06-06","9999-12-31"
"13462173","761","STR","2021-06-06","9999-12-31"
"13462173","762","STR","2021-06-06","9999-12-31"
"13462173","766","STR","2021-06-06","9999-12-31"
"13462173","767","STR","2021-06-06","9999-12-31"
"13462173","770","STR","2021-06-06","9999-12-31"
"13462173","771","STR","2021-06-06","9999-12-31"
"13462173","772","STR","2021-06-06","9999-12-31"
"13462173","774","STR","2021-06-06","9999-12-31"
"13462173","775","STR","2021-06-06","9999-12-31"
"13462173","778","STR","2021-06-06","9999-12-31"
"13462173","779","STR","2021-02-28","9999-12-31"
"13462173","780","STR","2021-06-06","9999-12-31"
"13462173","792","STR","2021-06-06","9999-12-31"
"13462173","793","STR","2021-06-06","9999-12-31"
"13462173","794","STR","2021-06-06","9999-12-31"
"13462173","797","STR","2021-06-06","9999-12-31"
"13462173","798","STR","2021-06-06","9999-12-31"
"13462173","799","STR","2021-06-06","9999-12-31"
"13462173","800","STR","2021-06-06","9999-12-31"
"13462173","801","STR","2021-06-06","9999-12-31"
"13462173","802","STR","2021-06-06","9999-12-31"
"13462173","804","STR","2021-06-06","9999-12-31"
"13462173","805","STR","2023-03-19","9999-12-31"
"13462173","807","STR","2021-06-06","9999-12-31"
"13462173","808","STR","2021-06-06","9999-12-31"
"13462173","810","STR","2021-06-06","9999-12-31"
"13462173","811","STR","2021-06-06","9999-12-31"
"13462173","812","STR","2021-06-06","9999-12-31"
"13462173","813","STR","2021-06-06","9999-12-31"
"13462173","815","STR","2021-06-06","9999-12-31"
"13462173","816","STR","2021-06-06","9999-12-31"
"13462173","817","STR","2021-06-06","9999-12-31"
"13462173","818","STR","2021-06-06","9999-12-31"
"13462173","819","STR","2021-06-06","9999-12-31"
"13462173","822","STR","2021-06-06","9999-12-31"
"13462173","823","STR","2021-06-06","9999-12-31"
"13462173","824","STR","2021-06-06","9999-12-31"
"13462173","825","STR","2021-06-06","9999-12-31"
"13462173","826","STR","2021-06-06","9999-12-31"
"13462173","827","STR","2021-06-06","9999-12-31"
"13462173","828","STR","2021-06-06","9999-12-31"
"13462173","830","STR","2021-06-06","9999-12-31"
"13462173","833","STR","2021-06-06","9999-12-31"
"13462173","834","STR","2021-06-06","9999-12-31"
"13462173","835","STR","2021-06-06","9999-12-31"
"13462173","836","STR","2021-06-06","9999-12-31"
"13462173","837","STR","2021-06-06","9999-12-31"
"13462173","838","STR","2021-06-06","9999-12-31"
"13462173","839","STR","2021-06-06","9999-12-31"
"13462173","840","STR","2021-06-06","9999-12-31"
"13462173","841","STR","2021-06-06","9999-12-31"
"13462173","842","STR","2021-06-06","9999-12-31"
"13462173","843","STR","2021-06-06","9999-12-31"
"13462173","844","STR","2021-06-06","9999-12-31"
"13462173","845","STR","2021-06-06","9999-12-31"
"13462173","849","STR","2021-06-06","9999-12-31"
"13462173","850","STR","2021-06-06","9999-12-31"
"13462173","851","STR","2021-06-06","9999-12-31"
"13462173","852","STR","2021-06-06","9999-12-31"
"13462173","853","STR","2021-06-06","9999-12-31"
"13462173","854","STR","2021-06-06","9999-12-31"
"13462173","855","STR","2021-06-06","9999-12-31"
"13462173","856","STR","2021-06-06","9999-12-31"
"13462173","857","STR","2021-06-06","9999-12-31"
"13462173","858","STR","2021-06-06","9999-12-31"
"13462173","860","STR","2021-06-06","9999-12-31"
"13462173","862","STR","2021-06-06","9999-12-31"
"13462173","864","STR","2021-06-06","9999-12-31"
"13462173","865","STR","2021-06-06","9999-12-31"
"13462173","866","STR","2021-06-06","9999-12-31"
