tcin,location_id,item_location_status_c
"13462173","359","A"
"13462173","361","A"
"13462173","362","A"
"13462173","364","A"
"13462173","365","A"
"13462173","366","A"
"13462173","373","A"
"13462173","397","A"
"13462173","530","A"
"13462173","532","A"
"13462173","533","A"
"13462173","551","A"
"13462173","553","A"
"13462173","555","A"
"13462173","593","A"
"13462173","604","A"
"13462173","605","D"
"13462173","606","A"
"13462173","607","A"
"13462173","608","A"
"13462173","609","A"
"13462173","610","A"
"13462173","612","A"
"13462173","613","A"
"13462173","614","A"
"13462173","615","A"
"13462173","616","A"
"13462173","617","A"
"13462173","618","A"
"13462173","619","A"
"13462173","620","A"
"13462173","622","A"
"13462173","623","A"
"13462173","624","A"
"13462173","626","A"
"13462173","627","A"
"13462173","628","A"
"13462173","632","A"
"13462173","634","A"
"13462173","636","A"
"13462173","637","A"
"13462173","638","A"
"13462173","639","A"
"13462173","641","A"
"13462173","642","A"
"13462173","645","A"
"13462173","647","A"
"13462173","649","A"
"13462173","650","A"
"13462173","652","A"
"13462173","654","A"
"13462173","655","A"
"13462173","656","A"
"13462173","660","A"
"13462173","664","A"
"13462173","665","A"
"13462173","666","A"
"13462173","669","A"
"13462173","670","A"
"13462173","671","A"
"13462173","672","A"
"13462173","673","A"
"13462173","675","A"
"13462173","676","A"
"13462173","677","A"
"13462173","679","A"
"13462173","680","A"
"13462173","681","A"
"13462173","684","A"
"13462173","685","A"
"13462173","686","A"
"13462173","687","A"
"13462173","688","A"
"13462173","689","A"
"13462173","690","A"
"13462173","692","A"
"13462173","696","A"
"13462173","699","A"
"13462173","700","A"
"13462173","731","A"
"13462173","732","A"
"13462173","733","A"
"13462173","734","A"
"13462173","736","A"
"13462173","737","A"
"13462173","738","A"
"13462173","739","A"
"13462173","740","A"
"13462173","746","A"
"13462173","749","A"
"13462173","750","A"
"13462173","751","A"
"13462173","752","A"
"13462173","753","A"
"13462173","755","A"
"13462173","757","A"
"13462173","758","A"
"13462173","759","A"
"13462173","760","A"
"13462173","761","A"
"13462173","762","A"
"13462173","766","A"
"13462173","767","A"
"13462173","770","A"
"13462173","771","A"
"13462173","772","A"
"13462173","774","A"
"13462173","775","A"
"13462173","778","A"
"13462173","779","A"
"13462173","780","A"
"13462173","792","A"
"13462173","793","A"
"13462173","794","A"
"13462173","797","A"
"13462173","798","A"
"13462173","799","A"
"13462173","800","A"
"13462173","801","A"
