lno,tcin,location_id,effective_d,expiry_d,regular_retail_a,current_retail_a,channel_n
139,"13462173","2345","2023-10-29","","17.99","16.99","STORE"
140,"13462173","190","2023-10-29","","17.99","16.99","STORE"
141,"13462173","1424","2023-10-29","","17.99","16.99","STORE"
142,"13462173","2373","2023-10-29","","17.99","16.99","STORE"
143,"13462173","3315","2023-10-29","","17.99","16.99","STORE"
144,"13462173","336","2023-10-29","","17.99","16.99","STORE"
145,"13462173","1351","2023-10-29","","16.99","15.99","STORE"
146,"13462173","1794","2023-10-29","","17.99","16.99","STORE"
147,"13462173","2026","2023-10-29","","17.99","16.99","STORE"
148,"13462173","808","2023-10-29","","17.99","16.99","STORE"
149,"13462173","967","2023-10-29","","17.99","16.99","STORE"
150,"13462173","1140","2023-10-29","","17.99","16.99","STORE"
151,"13462173","1459","2023-10-29","","17.99","16.99","STORE"
152,"13462173","1877","2023-10-29","","17.99","16.99","STORE"
153,"13462173","2328","2023-10-29","","17.99","16.99","STORE"
154,"13462173","221","2023-10-29","","17.99","16.99","STORE"
155,"13462173","775","2023-10-29","","17.99","16.99","STORE"
156,"13462173","1167","2023-10-29","","17.99","16.99","STORE"
157,"13462173","1336","2023-10-29","","17.99","16.99","STORE"
158,"13462173","1813","2023-10-29","","17.99","16.99","STORE"
159,"13462173","1442","2023-10-29","","17.99","16.99","STORE"
160,"13462173","1036","2023-10-29","","17.99","16.99","STORE"
161,"13462173","1201","2023-10-29","","17.99","16.99","STORE"
162,"13462173","1913","2023-10-29","","17.99","16.99","STORE"
163,"13462173","1332","2023-10-29","","17.99","16.99","STORE"
164,"13462173","762","2023-10-29","","17.99","16.99","STORE"
165,"13462173","1399","2023-10-29","","17.99","16.99","STORE"
166,"13462173","1423","2023-10-29","","17.99","16.99","STORE"
167,"13462173","2111","2023-10-29","","17.99","16.99","STORE"
168,"13462173","929","2023-10-29","","17.99","16.99","STORE"
169,"13462173","2233","2023-10-29","","17.99","16.99","STORE"
170,"13462173","2260","2023-10-29","","17.99","16.99","STORE"
171,"13462173","680","2023-10-29","","17.99","16.99","STORE"
172,"13462173","1283","2023-10-29","","17.99","16.99","STORE"
173,"13462173","2063","2023-10-29","","17.99","16.99","STORE"
174,"13462173","2350","2023-10-29","","17.99","16.99","STORE"
175,"13462173","3349","2023-10-29","","17.99","16.99","STORE"
176,"13462173","3406","2023-10-29","","17.99","16.99","STORE"
177,"13462173","2153","2023-10-29","","17.99","16.99","STORE"
178,"13462173","2503","2023-10-29","","17.99","16.99","STORE"
179,"13462173","264","2023-10-29","","17.99","16.99","STORE"
180,"13462173","1513","2023-10-29","","17.99","16.99","STORE"
181,"13462173","2744","2023-10-29","","17.99","16.99","STORE"
182,"13462173","2831","2023-10-29","","17.99","16.99","STORE"
183,"13462173","1354","2023-10-29","","17.99","16.99","STORE"
184,"13462173","1882","2023-10-29","","17.99","16.99","STORE"
185,"13462173","2766","2023-10-29","","17.99","16.99","STORE"
186,"13462173","1532","2023-10-29","","16.99","15.99","STORE"
187,"13462173","1843","2023-10-29","","17.99","16.99","STORE"
188,"13462173","2051","2023-10-29","","17.99","16.99","STORE"
189,"13462173","1082","2023-10-29","","17.99","16.99","STORE"
190,"13462173","1122","2023-10-29","","17.99","16.99","STORE"
191,"13462173","1186","2023-10-29","","16.99","15.99","STORE"
192,"13462173","1329","2023-10-29","","17.99","16.99","STORE"
193,"13462173","1901","2023-10-29","","17.99","16.99","STORE"
194,"13462173","2269","2023-10-29","","17.99","16.99","STORE"
195,"13462173","2775","2023-10-29","","17.99","16.99","STORE"
196,"13462173","3264","2023-10-29","","17.99","16.99","STORE"
197,"13462173","1225","2023-10-29","","17.99","16.99","STORE"
198,"13462173","1207","2023-10-29","","17.99","16.99","STORE"
199,"13462173","83","2023-10-29","","17.99","16.99","STORE"
200,"13462173","2498","2023-10-29","","17.99","16.99","STORE"
201,"13462173","1527","2023-10-29","","17.99","16.99","STORE"
202,"13462173","2568","2023-10-29","","17.99","16.99","STORE"
203,"13462173","3345","2023-10-29","","17.99","16.99","STORE"
204,"13462173","3343","2023-10-29","","17.99","16.99","STORE"
205,"13462173","1407","2023-10-29","","17.99","16.99","STORE"
206,"13462173","2501","2023-10-29","2023-11-19","17.99","16.99","STORE"
207,"13462173","2146","2023-10-29","2023-11-19","17.99","16.99","STORE"
208,"13462173","2290","2023-10-29","2023-11-19","17.99","16.99","STORE"
209,"13462173","2032","2023-10-29","2023-11-19","17.99","16.99","STORE"
210,"13462173","3375","2023-10-29","","17.99","16.99","STORE"
211,"13462173","1829","2023-10-29","","17.99","16.99","STORE"
212,"13462173","305","2023-10-29","","17.99","16.99","STORE"
213,"13462173","732","2023-10-29","","17.99","16.99","STORE"
214,"13462173","837","2023-10-29","","17.99","16.99","STORE"
215,"13462173","2232","2023-10-29","","17.99","16.99","STORE"
216,"13462173","296","2023-10-29","","17.99","16.99","STORE"
217,"13462173","1166","2023-10-29","","17.99","16.99","STORE"
218,"13462173","3270","2023-10-29","","17.99","16.99","STORE"
219,"13462173","3338","2023-10-29","","17.99","16.99","STORE"
220,"13462173","812","2023-10-29","","17.99","16.99","STORE"
221,"13462173","2216","2023-10-29","","17.99","16.99","STORE"
222,"13462173","2471","2023-10-29","","17.99","16.99","STORE"
223,"13462173","2064","2023-10-29","2023-11-19","17.99","16.99","STORE"
224,"13462173","1364","2023-10-29","2023-11-19","17.99","16.99","STORE"
225,"13462173","1507","2023-10-29","","17.99","16.99","STORE"
