f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,class
517.0,0.0,0.0,0,5,6,5,0,850,304.5,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0
564.0,1.0,0.0,1,4,7,10,0,1892,704.1428571428571,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0
509.0,1.0,0.0,0,2,2,4,0,441,297.0,500.0,0.0,257.0,0.0,0.0,0.0,0.0,0
532.0,0.8,0.0,0,2,4,5,0,2338,1100.5,0.0,0.0,33.0,0.0,2.0,0.0,0.0,0
429.0,0.6667,0.0,0,0,4,4,0,2650,2059.75,0.0,0.0,507.0,0.0,0.0,0.0,42.0,0
555.0,0.7778,0.0,0,5,13,10,0,1832,993.0769230769232,0.0,0.0,32.0,0.0,0.0,2.0,2.0,0
533.0,1.0,0.0,0,5,5,1,0,657,441.8,0.0,0.0,61.0,0.0,0.0,0.0,0.0,1
529.0,0.5,0.0,0,0,2,0,0,2886,2704.0,0.0,0.0,58.0,0.0,0.0,0.0,2.0,0
585.0,0.8,0.32299999999999995,0,1,4,2,0,2555,1261.5,5000.0,0.0,19.0,0.0114,28.0,1.0,1.0,1
627.0,1.0,0.135,1,1,2,1,0,1235,642.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0
550.0,0.9231,0.0,1,6,10,9,0,6510,1880.7,800.0,0.0,670.0,0.36375,3.0,1.0,0.0,0
511.0,1.0,0.0,0,1,4,4,0,2428,1322.0,0.0,0.0,2073.0,0.0,0.0,0.0,0.0,0
459.0,0.7333,0.0,0,0,6,7,0,5488,3851.833333333334,1500.0,0.128,609.0,0.0,0.0,0.0,36.0,0
626.0,1.0,0.555,0,6,6,10,0,672,294.3333333333333,1500.0,0.0,6.0,0.034666666666666665,0.0,0.0,0.0,0
555.0,1.0,0.0,1,5,8,12,0,987,536.0,5000.0,0.0,480.0,0.0,0.0,0.0,0.0,0
