f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,class
653.000000,1.000000,0.114000,0.000000,0.000000,2.000000,1.000000,0.000000,1228.000000,1182.000000,6000.000000,0.000000,55.000000,0.004167,0.000000,0.000000,0.000000,1
637.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,252.000000,252.000000,0.000000,0.000000,51.000000,0.000000,0.000000,0.000000,0.000000,1
577.000000,0.538500,0.353000,0.000000,4.000000,12.000000,7.000000,0.000000,3835.000000,1549.083374,6300.000000,0.000000,26.000000,0.018095,13.000000,5.000000,91.000000,0
594.000000,1.000000,0.000000,3.000000,7.000000,11.000000,13.000000,0.000000,2266.000000,728.090881,0.000000,0.000000,21.000000,0.000000,0.000000,0.000000,0.000000,0
646.000000,1.000000,0.272000,0.000000,2.000000,3.000000,2.000000,0.000000,4813.000000,1757.000000,26501.000000,0.000000,18.000000,0.006264,0.000000,0.000000,0.000000,1
629.000000,1.000000,0.001000,0.000000,0.000000,3.000000,1.000000,0.000000,15393.000000,8150.666504,10290.000000,0.000000,65.000000,0.000680,0.000000,0.000000,0.000000,0
554.000000,0.666700,0.980000,0.000000,0.000000,4.000000,2.000000,0.000000,2168.000000,1519.250000,4250.000000,0.000000,7.000000,0.022588,5.000000,1.000000,1.000000,1
558.000000,0.909100,0.667000,1.000000,4.000000,7.000000,0.000000,0.000000,3074.000000,990.428589,17300.000000,0.000000,12.000000,0.018555,0.000000,1.000000,0.000000,0
655.000000,1.000000,0.740000,0.000000,3.000000,4.000000,2.000000,0.000000,1161.000000,554.250000,2000.000000,0.000000,12.000000,0.012500,0.000000,0.000000,0.000000,1
632.000000,0.800000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,2244.000000,2244.000000,0.000000,0.000000,39.000000,0.000000,1.000000,1.000000,15.000000,1
616.000000,1.000000,0.714000,0.000000,4.000000,7.000000,5.000000,0.000000,1944.000000,782.142883,1600.000000,0.000000,49.000000,0.063125,0.000000,0.000000,0.000000,0
505.000000,0.333300,0.000000,0.000000,0.000000,1.000000,3.000000,0.000000,2108.000000,2108.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,34.000000,0
658.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.000000,0.000000,0.000000,0.000000,0.000000,0
678.000000,0.857100,0.557000,0.000000,0.000000,12.000000,4.000000,0.000000,7110.000000,3813.833252,5300.000000,0.000000,319.000000,0.000000,0.000000,0.000000,9.000000,0
601.000000,1.000000,1.017000,0.000000,1.000000,2.000000,2.000000,0.000000,776.000000,706.500000,750.000000,0.000000,35.000000,0.033333,0.000000,0.000000,0.000000,1
590.000000,1.000000,0.000000,1.000000,5.000000,6.000000,6.000000,0.000000,851.000000,352.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
